Date,US
2/27/2020,1
2/28/2020,0
2/29/2020,1
3/1/2020,0
3/2/2020,5
3/3/2020,1
3/4/2020,4
3/5/2020,1
3/6/2020,2
3/7/2020,3
3/8/2020,4
3/9/2020,2
3/10/2020,5
3/11/2020,5
3/12/2020,11
3/13/2020,7
3/14/2020,9
3/15/2020,11
3/16/2020,25
3/17/2020,36
3/18/2020,65
3/19/2020,75
3/20/2020,105
3/21/2020,104
3/22/2020,121
3/23/2020,187
3/24/2020,243
3/25/2020,333
3/26/2020,417
3/27/2020,522
3/28/2020,713
3/29/2020,555
3/30/2020,707
3/31/2020,1079
4/1/2020,1252
4/2/2020,1531
4/3/2020,1420
4/4/2020,1603
4/5/2020,1616
4/6/2020,1742
4/7/2020,2576
4/8/2020,2150
4/9/2020,2214
4/10/2020,2187
4/11/2020,2136
4/12/2020,1889
4/13/2020,1985
4/14/2020,2473
4/15/2020,2598
4/16/2020,2183
4/17/2020,2095
4/18/2020,1946
4/19/2020,1980
4/20/2020,2245
4/21/2020,2482
4/22/2020,2467
4/23/2020,2414
4/24/2020,2169
4/25/2020,1734
4/26/2020,1406
4/27/2020,1480
4/28/2020,2244
4/29/2020,2392
4/30/2020,2191
5/1/2020,1908
5/2/2020,1743
5/3/2020,1203
5/4/2020,1358
5/5/2020,2221
5/6/2020,2322
5/7/2020,1915
5/8/2020,1771
5/9/2020,1466
5/10/2020,1000
5/11/2020,1035
5/12/2020,1589
5/13/2020,1735
5/14/2020,1773
5/15/2020,1665
5/16/2020,1197
5/17/2020,830
5/18/2020,1220
5/19/2020,1445
5/20/2020,1503
5/21/2020,1188
5/22/2020,1204
5/23/2020,1074
5/24/2020,641
5/25/2020,597
5/26/2020,657
5/27/2020,1479
5/28/2020,1089
5/29/2020,1117
5/30/2020,952
5/31/2020,621
6/1/2020,774
6/2/2020,981
6/3/2020,1011
6/4/2020,1005
6/5/2020,880
6/6/2020,638
6/7/2020,456
6/8/2020,512
6/9/2020,918
6/10/2020,872
6/11/2020,817
6/12/2020,822
6/13/2020,720
6/14/2020,347
6/15/2020,401
6/16/2020,785
6/17/2020,749
6/18/2020,701
6/19/2020,634
6/20/2020,565
6/21/2020,317
6/22/2020,379
6/23/2020,740
6/24/2020,756
6/25/2020,549
6/26/2020,630
6/27/2020,497
6/28/2020,324
6/29/2020,371
6/30/2020,554
7/1/2020,701
7/2/2020,739
7/3/2020,677
7/4/2020,302
7/5/2020,322
7/6/2020,370
7/7/2020,1143
7/8/2020,842
7/9/2020,1036
7/10/2020,818
7/11/2020,751
7/12/2020,474
7/13/2020,435
7/14/2020,898
7/15/2020,964
7/16/2020,967
7/17/2020,920
7/18/2020,887
7/19/2020,479
7/20/2020,532
7/21/2020,1088
7/22/2020,1226
7/23/2020,1090
7/24/2020,1092
7/25/2020,971
7/26/2020,537
7/27/2020,1110
7/28/2020,1217
7/29/2020,1444
7/30/2020,1295
7/31/2020,1185
8/1/2020,1119
8/2/2020,462
8/3/2020,562
8/4/2020,1258
8/5/2020,1413
8/6/2020,1183
8/7/2020,1295
8/8/2020,1086
8/9/2020,573
8/10/2020,522
8/11/2020,1085
8/12/2020,1511
8/13/2020,1040
8/14/2020,1309
8/15/2020,1042
8/16/2020,613
8/17/2020,472
8/18/2020,1230
8/19/2020,684
8/20/2020,1100
8/21/2020,1096
8/22/2020,962
8/23/2020,503
8/24/2020,426
8/25/2020,1219
8/26/2020,1158
8/27/2020,1108
8/28/2020,926
8/29/2020,963
8/30/2020,441
8/31/2020,482
9/1/2020,1065
9/2/2020,1053
9/3/2020,1022
9/4/2020,950
9/5/2020,803
9/6/2020,436
9/7/2020,319
9/8/2020,463
9/9/2020,1103
9/10/2020,908
9/11/2020,1142
9/12/2020,740
9/13/2020,393
9/14/2020,420
9/15/2020,1194
9/16/2020,937
9/17/2020,848
9/18/2020,956
9/19/2020,662
9/20/2020,264
9/21/2020,409
9/22/2020,1023
9/23/2020,1048
9/24/2020,889
9/25/2020,909
9/26/2020,764
9/27/2020,302
9/28/2020,334
9/29/2020,893
9/30/2020,906
10/1/2020,895
10/2/2020,834
10/3/2020,669
10/4/2020,370
10/5/2020,470
10/6/2020,694
10/7/2020,902
10/8/2020,974
10/9/2020,966
10/10/2020,655
10/11/2020,459
10/12/2020,392
10/13/2020,771
10/14/2020,987
10/15/2020,827
10/16/2020,926
10/17/2020,785
10/18/2020,458
10/19/2020,481
10/20/2020,930
10/21/2020,1158
10/22/2020,836
10/23/2020,948
10/24/2020,956
10/25/2020,445
10/26/2020,514
10/27/2020,1000
10/28/2020,1009
10/29/2020,987
10/30/2020,1057
10/31/2020,921
11/1/2020,491
11/2/2020,556
11/3/2020,1592
11/4/2020,1109
11/5/2020,1158
11/6/2020,1207
11/7/2020,1108
11/8/2020,553
11/9/2020,758
11/10/2020,1407
11/11/2020,1423
11/12/2020,1198
11/13/2020,1197
11/14/2020,1360
11/15/2020,768
11/16/2020,819
11/17/2020,1704
11/18/2020,1913
11/19/2020,2029
11/20/2020,1936
11/21/2020,1637
11/22/2020,1054
11/23/2020,1066
11/24/2020,2134
11/25/2020,2231
11/26/2020,1405
11/27/2020,1547
11/28/2020,1351
11/29/2020,1036
11/30/2020,1313
12/1/2020,2550
12/2/2020,2814
12/3/2020,2951
12/4/2020,2610
12/5/2020,2384
12/6/2020,1392
12/7/2020,1564
12/8/2020,2571
12/9/2020,3165
12/10/2020,2980
12/11/2020,3374
12/12/2020,2509
12/13/2020,1657
12/14/2020,1656
12/15/2020,2977
12/16/2020,3726
12/17/2020,3448
12/18/2020,2936
12/19/2020,2805
12/20/2020,1709
12/21/2020,1798
12/22/2020,3298
12/23/2020,3382
12/24/2020,2922
12/25/2020,1519
12/26/2020,1907
12/27/2020,1437
12/28/2020,1872
12/29/2020,3616
12/30/2020,3890
12/31/2020,3291
1/1/2021,2247
1/2/2021,2543
1/3/2021,1431
1/4/2021,1983
1/5/2021,3599
1/6/2021,3913
1/7/2021,4022
1/8/2021,4173
1/9/2021,3241
1/10/2021,2091
1/11/2021,1838
1/12/2021,4376
1/13/2021,4013
1/14/2021,3781
1/15/2021,3824
1/16/2021,3564
1/17/2021,1992
1/18/2021,1568
1/19/2021,2396
1/20/2021,4411
1/21/2021,4110
1/22/2021,3783
1/23/2021,3537
1/24/2021,1845
1/25/2021,1768
1/26/2021,3975
1/27/2021,4090
1/28/2021,3815
1/29/2021,3578
1/30/2021,2875
1/31/2021,1949
2/1/2021,1772
2/2/2021,3530
2/3/2021,3872
2/4/2021,3893
2/5/2021,3678
2/6/2021,2736
2/7/2021,1469
2/8/2021,1443
2/9/2021,3038
2/10/2021,3379
2/11/2021,3168
2/12/2021,2844
2/13/2021,2272
2/14/2021,1158
2/15/2021,941
2/16/2021,1633
2/17/2021,2409
2/18/2021,2579
2/19/2021,2524
2/20/2021,1918
2/21/2021,1212
2/22/2021,1200
2/23/2021,2272
2/24/2021,3222
2/25/2021,2416
2/26/2021,2140
2/27/2021,1514
2/28/2021,1089
3/1/2021,1314
3/2/2021,1917
3/3/2021,2527
3/4/2021,1926
3/5/2021,1725
3/6/2021,1514
3/7/2021,702
3/8/2021,707
3/9/2021,1765
3/10/2021,1540
3/11/2021,1554
3/12/2021,1419
3/13/2021,975
3/14/2021,515
3/15/2021,703
3/16/2021,1257
3/17/2021,1193
3/18/2021,1635
3/19/2021,1026
3/20/2021,772
3/21/2021,714
3/22/2021,549
3/23/2021,945
3/24/2021,1461
3/25/2021,1348
3/26/2021,1155
3/27/2021,807
3/28/2021,441
3/29/2021,627
3/30/2021,894
3/31/2021,1068
4/1/2021,1104
4/2/2021,885
4/3/2021,754
4/4/2021,311
4/5/2021,459
4/6/2021,828
4/7/2021,2602
4/8/2021,1008
4/9/2021,908
4/10/2021,756
4/11/2021,289
4/12/2021,443
4/13/2021,865
4/14/2021,929
4/15/2021,909
4/16/2021,865
4/17/2021,705
4/18/2021,350
4/19/2021,487
4/20/2021,842
4/21/2021,884
4/22/2021,937
4/23/2021,752
4/24/2021,760
4/25/2021,303
4/26/2021,475
4/27/2021,670
4/28/2021,979
4/29/2021,885
4/30/2021,804
5/1/2021,747
5/2/2021,322
5/3/2021,476
5/4/2021,880
5/5/2021,816
5/6/2021,797
5/7/2021,757
5/8/2021,634
5/9/2021,257
5/10/2021,389
5/11/2021,685
5/12/2021,787
5/13/2021,761
5/14/2021,627
5/15/2021,529
5/16/2021,270
5/17/2021,393
5/18/2021,777
5/19/2021,666
5/20/2021,683
5/21/2021,618
5/22/2021,488
5/23/2021,196
5/24/2021,434
5/25/2021,649
5/26/2021,992
5/27/2021,1356
5/28/2021,531
5/29/2021,344
5/30/2021,150
5/31/2021,172
6/1/2021,632
6/2/2021,562
6/3/2021,635
6/4/2021,521
6/5/2021,584
6/6/2021,165
6/7/2021,316
6/8/2021,319
6/9/2021,484
6/10/2021,414
6/11/2021,533
6/12/2021,276
6/13/2021,107
6/14/2021,184
6/15/2021,328
6/16/2021,381
6/17/2021,296
6/18/2021,606
6/19/2021,177
6/20/2021,75
6/21/2021,259
6/22/2021,346
6/23/2021,398
6/24/2021,342
6/25/2021,523
6/26/2021,157
6/27/2021,76
6/28/2021,146
6/29/2021,329
6/30/2021,303
7/1/2021,283
7/2/2021,433
7/3/2021,93
7/4/2021,41
7/5/2021,115
7/6/2021,301
7/7/2021,324
7/8/2021,246
7/9/2021,465
7/10/2021,87
7/11/2021,120
7/12/2021,229
7/13/2021,359
7/14/2021,329
7/15/2021,350
7/16/2021,453
7/17/2021,77
7/18/2021,87
7/19/2021,191
7/20/2021,288
7/21/2021,362
7/22/2021,287
7/23/2021,557
7/24/2021,127
7/25/2021,99
7/26/2021,259
7/27/2021,445
7/28/2021,373
7/29/2021,319
7/30/2021,881
7/31/2021,168
8/1/2021,222
8/2/2021,346
8/3/2021,577
8/4/2021,541
8/5/2021,514
8/6/2021,1135
8/7/2021,255
8/8/2021,125
8/9/2021,523
8/10/2021,835
8/11/2021,792
8/12/2021,1023
8/13/2021,1051
8/14/2021,266
8/15/2021,206
8/16/2021,1027
8/17/2021,1017
8/18/2021,1201
8/19/2021,1778
8/20/2021,1464
8/21/2021,556
8/22/2021,211
8/23/2021,1330
8/24/2021,1415
8/25/2021,1541
8/26/2021,2206
8/27/2021,1737
8/28/2021,640
8/29/2021,314
8/30/2021,1711
8/31/2021,1426
9/1/2021,2037
9/2/2021,3000
9/3/2021,1936
9/4/2021,652
9/5/2021,416
9/6/2021,626
9/7/2021,2076
9/8/2021,2296
9/9/2021,3218
9/10/2021,2461
9/11/2021,829
9/12/2021,371
9/13/2021,2166
9/14/2021,1896
9/15/2021,2744
9/16/2021,3466
9/17/2021,2448
9/18/2021,984
9/19/2021,392
9/20/2021,2308
9/21/2021,2444
9/22/2021,2688
9/23/2021,3294
9/24/2021,2475
9/25/2021,838
9/26/2021,572
9/27/2021,2266
9/28/2021,2502
9/29/2021,2620
9/30/2021,2805
10/1/2021,2149
10/2/2021,828
10/3/2021,529
10/4/2021,1925
10/5/2021,1867
10/6/2021,2656
10/7/2021,2470
10/8/2021,1802
10/9/2021,430
10/10/2021,477
10/11/2021,1183
10/12/2021,2289
10/13/2021,3199
10/14/2021,2162
10/15/2021,1801
10/16/2021,550
10/17/2021,462
10/18/2021,1779
10/19/2021,1951
10/20/2021,3176
10/21/2021,1991
10/22/2021,1858
10/23/2021,544
10/24/2021,258
10/25/2021,1476
10/26/2021,1577
10/27/2021,2053
10/28/2021,1840
10/29/2021,1719
10/30/2021,375
10/31/2021,234
11/1/2021,1279
11/2/2021,1271
11/3/2021,1962
11/4/2021,1203
11/5/2021,2120
11/6/2021,466
11/7/2021,205
11/8/2021,1257
11/9/2021,1428
11/10/2021,1682
11/11/2021,874
11/12/2021,2455
11/13/2021,563
11/14/2021,201
11/15/2021,1304
11/16/2021,1328
11/17/2021,1646
11/18/2021,1350
11/19/2021,1789
11/20/2021,452
11/21/2021,219
11/22/2021,1268
11/23/2021,1370
11/24/2021,1710
11/25/2021,475
11/26/2021,372
11/27/2021,314
11/28/2021,247
11/29/2021,1935
11/30/2021,1639
12/1/2021,2056
12/2/2021,3898
12/3/2021,1577
12/4/2021,673
12/5/2021,388
12/6/2021,1415
12/7/2021,1564
12/8/2021,1813
12/9/2021,1564
12/10/2021,1799
12/11/2021,601
12/12/2021,354
12/13/2021,1409
12/14/2021,1549
12/15/2021,2254
12/16/2021,1293
12/17/2021,1851
12/18/2021,645
12/19/2021,299
12/20/2021,1581
12/21/2021,1954
12/22/2021,4191
12/23/2021,1386
12/24/2021,700
12/25/2021,231
12/26/2021,349
12/27/2021,1796
12/28/2021,2316
12/29/2021,2352
12/30/2021,1491
12/31/2021,712
1/1/2022,392
1/2/2022,381
1/3/2022,1844
1/4/2022,2304
1/5/2022,2178
1/6/2022,2056
1/7/2022,2396
1/8/2022,816
1/9/2022,590
1/10/2022,2014
1/11/2022,2469
1/12/2022,2808
1/13/2022,2517
1/14/2022,2738
1/15/2022,974
1/16/2022,741
1/17/2022,1025
1/18/2022,2684
1/19/2022,3438
1/20/2022,2897
1/21/2022,3359
1/22/2022,966
1/23/2022,709
1/24/2022,2164
1/25/2022,3168
1/26/2022,3837
1/27/2022,2584
1/28/2022,4100
1/29/2022,1165
1/30/2022,471
1/31/2022,2622
2/1/2022,3342
2/2/2022,3566
2/3/2022,2449
2/4/2022,4104
2/5/2022,884
2/6/2022,457
2/7/2022,3066
2/8/2022,2968
2/9/2022,3426
2/10/2022,3265
2/11/2022,2697
2/12/2022,813
2/13/2022,572
2/14/2022,3203
2/15/2022,2562
2/16/2022,3182
2/17/2022,2923
2/18/2022,2486
2/19/2022,658
2/20/2022,438
2/21/2022,918
2/22/2022,2173
2/23/2022,3092
2/24/2022,2957
2/25/2022,2066
2/26/2022,736
2/27/2022,223
2/28/2022,2152
3/1/2022,1776
3/2/2022,2091
3/3/2022,1703
3/4/2022,1750
3/5/2022,292
3/6/2022,211
3/7/2022,1687
3/8/2022,1406
3/9/2022,2020
3/10/2022,1771
3/11/2022,1642
3/12/2022,259
3/13/2022,192
3/14/2022,1326
3/15/2022,1085
3/16/2022,1833
3/17/2022,1508
3/18/2022,807
3/19/2022,280
3/20/2022,87
3/21/2022,1533
3/22/2022,562
3/23/2022,1637
3/24/2022,861
3/25/2022,619
3/26/2022,147
3/27/2022,60
3/28/2022,1026
3/29/2022,983
3/30/2022,1168
3/31/2022,516
4/1/2022,829
4/2/2022,156
4/3/2022,58
4/4/2022,587
4/5/2022,513
4/6/2022,1125
4/7/2022,694
4/8/2022,641
4/9/2022,142
4/10/2022,25
4/11/2022,337
4/12/2022,614
4/13/2022,1163
4/14/2022,408
4/15/2022,459
4/16/2022,51
4/17/2022,11
4/18/2022,258
4/19/2022,440
4/20/2022,892
4/21/2022,383
4/22/2022,556
4/23/2022,51
4/24/2022,19
4/25/2022,285
4/26/2022,332
4/27/2022,800
4/28/2022,357
4/29/2022,424
4/30/2022,124
5/1/2022,21
5/2/2022,266
5/3/2022,749
5/4/2022,1959
5/5/2022,308
5/6/2022,354
5/7/2022,185
5/8/2022,23
5/9/2022,514
